id,stateName,name,geoid,electionYear,vtdst10,aland,awater, totalVotes 
227,NH,TOWN OF LOUDON,33013LOUD01,2016,LOUD01,121192742,1665296," 3,247 "
228,NH,TOWN OF NEW LONDON,33013NLON01,2016,NLON01,58232185,7989264," 3,027 "
229,NH,TOWN OF NEWBURY,33013NBRY01,2016,NBRY01,93048693,5855888," 1,349 "
230,NH,TOWN OF NORTHFIELD,33013NFLD01,2016,NFLD01,74668900,891037," 2,352 "
231,NH,TOWN OF PEMBROKE,33013PEMB01,2016,PEMB01,59006026,414803," 3,946 "
232,NH,TOWN OF PITTSFIELD,33013PITF01,2016,PITF01,61677465,810536," 1,935 "
233,NH,TOWN OF SALISBURY,33013SALI01,2016,SALI01,103407575,632641, 812 
234,NH,TOWN OF SUTTON,33013SUTT01,2016,SUTT01,109734292,2021644," 1,234 "
235,NH,TOWN OF WARNER,33013WARN01,2016,WARN01,144242508,633787," 1,779 "
236,NH,TOWN OF WEBSTER,33013WEBS01,2016,WEBS01,72650394,1482397," 1,146 "
237,NH,TOWN OF WILMOT,33013WILM01,2016,WILM01,76446236,538878, 883 
238,NH,DERRY WARD 1,33015DERR01,2016,DERR01,18310284,92568," 4,229 "
239,NH,DERRY WARD 2,33015DERR02,2016,DERR02,45261417,1524566," 4,229 "
240,NH,DERRY WARD 3,33015DERR03,2016,DERR03,21123141,613480," 4,229 "
241,NH,DERRY WARD 4,33015DERR04,2016,DERR04,7532844,22957," 4,229 "
242,NH,PORTSMOUTH WARD 1,33015PORT01,2016,PORT01,3457238,407409," 2,773 "
243,NH,PORTSMOUTH WARD 2,33015PORT02,2016,PORT02,1852496,83666," 3,119 "
244,NH,PORTSMOUTH WARD 3,33015PORT03,2016,PORT03,14572369,0," 2,405 "
245,NH,PORTSMOUTH WARD 4,33015PORT04,2016,PORT04,15714237,295392," 2,291 "
246,NH,PORTSMOUTH WARD 5,33015PORT05,2016,PORT05,4897224,2357640," 2,581 "
247,NH,TOWN OF ATKINSON,33015ATKI01,2016,ATKI01,28867446,416159," 4,460 "
248,NH,TOWN OF AUBURN,33015AUBU01,2016,AUBU01,65271667,9067444," 3,508 "
249,NH,TOWN OF BRENTWOOD,33015BREN01,2016,BREN01,43407155,573172," 2,555 "
250,NH,TOWN OF CANDIA,33015CAND01,2016,CAND01,78557810,627056," 2,554 "
251,NH,TOWN OF CHESTER,33015CHSR01,2016,CHSR01,67138229,316619," 2,958 "
252,NH,TOWN OF DANVILLE,33015DANV01,2016,DANV01,30353275,470661," 2,565 "
253,NH,TOWN OF DEERFIELD,33015DFLD01,2016,DFLD01,131769336,3454057," 2,853 "
254,NH,TOWN OF EAST KINGSTON,33015EKIN01,2016,EKIN01,25895648,161798," 1,537 "
255,NH,TOWN OF EPPING,33015EPPI01,2016,EPPI01,67538500,404644," 3,959 "
256,NH,TOWN OF EXETER,33015EXET01,2016,EXET01,50656128,973873," 9,248 "
257,NH,TOWN OF FREMONT,33015FREM01,2016,FREM01,44305937,722775," 2,709 "
258,NH,TOWN OF GREENLAND,33015GRND01,2016,GRND01,26990876,7437715," 2,587 "
259,NH,TOWN OF HAMPSTEAD,33015HMST01,2016,HMST01,34454053,1718422," 5,388 "
260,NH,TOWN OF HAMPTON,33015HMTN01,2016,HMTN01,33417698,4722963," 10,161 "
261,NH,TOWN OF HAMPTON FALLS,33015HAFA01,2016,HAFA01,31574298,835762," 1,566 "
262,NH,TOWN OF KENSINGTON,33015KENS01,2016,KENS01,30931407,36676," 1,382 "
263,NH,TOWN OF KINGSTON,33015KING01,2016,KING01,50901072,3184188," 3,689 "
264,NH,TOWN OF LONDONDERRY,33015LOND01,2016,LOND01,108740502,332718," 14,049 "
265,NH,TOWN OF NEW CASTLE,33015NCAS01,2016,NCAS01,2137295,3760000, 797 
266,NH,TOWN OF NEWFIELDS,33015NEWF01,2016,NEWF01,18376888,418204," 1,133 "
267,NH,TOWN OF NEWINGTON,33015NWIN01,2016,NWIN01,21215630,11049883, 590 
268,NH,TOWN OF NEWMARKET,33015NMAR01,2016,NMAR01,32493539,4198524," 5,364 "
269,NH,TOWN OF NEWTON,33015NEWT01,2016,NEWT01,25661609,393396," 2,717 "
270,NH,TOWN OF NORTH HAMPTON,33015NOHA01,2016,NOHA01,36036872,1288397," 3,137 "
271,NH,TOWN OF NORTHWOOD,33015NTHW01,2016,NTHW01,72672765,5234885," 2,581 "
272,NH,TOWN OF NOTTINGHAM,33015NOTT01,2016,NOTT01,120549470,4933263," 3,073 "
273,NH,TOWN OF PLAISTOW,33015PLAI01,2016,PLAI01,27529135,23763," 4,399 "
274,NH,TOWN OF RAYMOND,33015RAYM01,2016,RAYM01,74504231,2062596," 5,348 "
275,NH,TOWN OF RYE,33015RYE01,2016,RYE01,32672323,62432882," 3,980 "
276,NH,TOWN OF SALEM,33015SALE01,2016,SALE01,64037480,2915952," 15,986 "
277,NH,TOWN OF SANDOWN,33015SNDN01,2016,SNDN01,36131068,1261550," 3,557 "
278,NH,TOWN OF SEABROOK,33015SEAB01,2016,SEAB01,23041615,1980056," 4,494 "
279,NH,TOWN OF SOUTH HAMPTON,33015SOHA01,2016,SOHA01,20714368,62975, 585 
280,NH,TOWN OF STRATHAM,33015STRM01,2016,STRM01,39111660,944265," 4,857 "
281,NH,TOWN OF WINDHAM,33015WNDM01,2016,WNDM01,69427718,2739837," 8,760 "
282,NH,DOVER WARD 1,33017DOVE01,2016,DOVE01,1954899,46630," 2,789 "
283,NH,DOVER WARD 2,33017DOVE02,2016,DOVE02,6058320,1229168," 2,947 "
284,NH,DOVER WARD 3,33017DOVE03,2016,DOVE03,13523371,3284131," 3,432 "
285,NH,DOVER WARD 4,33017DOVE04,2016,DOVE04,12824202,1060949," 3,092 "
286,NH,DOVER WARD 5,33017DOVE05,2016,DOVE05,17000641,191396," 2,502 "
287,NH,DOVER WARD 6,33017DOVE06,2016,DOVE06,17833108,171875," 2,389 "
288,NH,ROCHESTER WARD 1,33017ROCH01,2016,ROCH01,22190097,0," 2,635 "
289,NH,ROCHESTER WARD 2,33017ROCH02,2016,ROCH02,13539901,0," 2,738 "
290,NH,ROCHESTER WARD 3,33017ROCH03,2016,ROCH03,25876704,39616," 2,546 "
291,NH,ROCHESTER WARD 4,33017ROCH04,2016,ROCH04,9826436,108300," 2,371 "
292,NH,ROCHESTER WARD 5,33017ROCH05,2016,ROCH05,41818803,733207," 2,554 "
293,NH,ROCHESTER WARD 6,33017ROCH06,2016,ROCH06,4337766,54832," 2,091 "
294,NH,SOMERSWORTH WARD 1,33017SOME01,2016,SOME01,6831400,134150," 1,388 "
295,NH,SOMERSWORTH WARD 2,33017SOME02,2016,SOME02,7118225,0," 1,061 "
296,NH,SOMERSWORTH WARD 3,33017SOME03,2016,SOME03,4607208,290210," 1,065 "
297,NH,SOMERSWORTH WARD 4,33017SOME04,2016,SOME04,3369898,0," 1,019 "
298,NH,SOMERSWORTH WARD 5,33017SOME05,2016,SOME05,3413758,106429, 779 
299,NH,TOWN OF BARRINGTON,33017BARR01,2016,BARR01,120699930,5024033," 5,222 "
300,NH,TOWN OF DURHAM,33017DURH01,2016,DURH01,57975041,6221425," 9,530 "
301,NH,TOWN OF FARMINGTON,33017FARM01,2016,FARM01,96394781,824183," 3,100 "
302,NH,TOWN OF LEE,33017LEE01,2016,LEE01,51681453,540235," 2,616 "
303,NH,TOWN OF MADBURY,33017MADB01,2016,MADB01,30182329,1470074," 1,131 "
304,NH,TOWN OF MIDDLETON,33017MIDD01,2016,MIDD01,46851575,1093458, 922 
305,NH,TOWN OF MILTON,33017MILT01,2016,MILT01,85769393,3183206," 2,301 "
306,NH,TOWN OF NEW DURHAM,33017NDUR01,2016,NDUR01,107514967,6832338," 1,643 "
307,NH,TOWN OF ROLLINSFORD,33017ROLL01,2016,ROLL01,18887052,767191," 1,582 "
308,NH,TOWN OF STRAFFORD,33017STFD01,2016,STFD01,127320723,5750513," 2,535 "
309,NH,CLAREMONT WARD 1,33019CLAR01,2016,CLAR01,19233660,0," 1,537 "
310,NH,CLAREMONT WARD 2,33019CLAR02,2016,CLAR02,34351591,1816808," 2,132 "
311,NH,CLAREMONT WARD 3,33019CLAR03,2016,CLAR03,58098138,680310," 1,843 "
312,NH,TOWN OF ACWORTH,33019ACWO01,2016,ACWO01,100699182,647645, 552 
313,NH,TOWN OF CHARLESTOWN,33019CHAR01,2016,CHAR01,92720315,5817280," 2,317 "
314,NH,TOWN OF CORNISH,33019CORN01,2016,CORN01,109056164,1869203," 1,012 "
315,NH,TOWN OF CROYDON,33019CROY01,2016,CROY01,94978149,2023900, 420 
316,NH,TOWN OF GOSHEN,33019GOSH01,2016,GOSH01,58230514,238931, 438 
317,NH,TOWN OF GRANTHAM,33019GRAN01,2016,GRAN01,70371910,2287193," 2,036 "
318,NH,TOWN OF LANGDON,33019LANG01,2016,LANG01,42093590,206909, 390 
319,NH,TOWN OF LEMPSTER,33019LEMP01,2016,LEMP01,83778622,1107124, 680 
320,NH,TOWN OF NEWPORT,33019NEWP01,2016,NEWP01,112832838,206600," 2,904 "
321,NH,TOWN OF PLAINFIELD,33019PLFD01,2016,PLFD01,135119322,1938102," 1,488 "
322,NH,TOWN OF SPRINGFIELD,33019SPRI01,2016,SPRI01,112017351,2290121, 817 
323,NH,TOWN OF SUNAPEE,33019SUNA01,2016,SUNA01,54663981,10630308," 2,080 "
324,NH,TOWN OF UNITY,33019UNIT01,2016,UNIT01,95610233,676738, 797 
325,NH,TOWN OF WASHINGTON,33019WASH01,2016,WASH01,117732015,5633233, 686 
